Curro Muñoz 	0	0	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0% 	0	0	0	0	0	0
Curro Sánchez 	2	43	0	0	0	0	1	1	100% 	1	1	100% 	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	77% 	1	1	0	0	0	0
César de la Hoz 	8	583	1	0	0	0	3	1	33% 	1	1	100% 	0	0	3	13	4	7	0	0	4	0	1	0	0	0	0	0	3	0	3	2	83% 	0	0	0	0	0	0
Dakonam Djené 	12	1002	0	0	0	0	2	0	0% 	3	2	67% 	0	0	15	16	11	5	0	0	4	0	1	0	0	0	0	0	4	0	3	1	84% 	0	1	0	0	0	0
Damián Suárez 	7	549	1	0	0	0	2	1	50% 	40	6	15% 	0	2	3	10	4	7	0	0	2	0	0	0	0	0	0	0	0	0	4	10	68% 	11	16	1	0	0	0
Dani Ceballos 	8	178	0	1	0	0	3	1	33% 	2	1	50% 	0	0	4	4	6	4	0	0	1	0	0	0	0	0	0	0	0	0	3	8	93% 	1	0	0	0	0	0
 Dani García 	8	364	0	1	0	0	1	0	0% 	1	0	0% 	0	1	7	9	3	3	0	0	1	0	0	0	0	0	0	0	0	0	1	2	82% 	0	0	0	0	0	0
Dani Gómez 	6	66	0	0	0	0	0	0	0% 	2	0	0% 	0	1	2	2	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	80% 	0	0	0	0	0	0
Dani Martín 	0	0	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0% 	0	0	0	0	0	0
Dani Parejo 	14	1227	0	2	0	0	11	4	36% 	63	14	22% 	1	4	24	11	10	12	0	0	2	0	0	0	0	0	0	0	6	0	5	20	89% 	43	17	4	4	2	0
Dani Rodríguez 	13	685	0	2	0	0	7	3	43% 	10	3	30% 	0	6	9	15	9	5	0	0	5	0	0	0	0	0	0	0	2	0	6	12	82% 	3	5	2	0	0	0
Dani Vivian 	8	635	1	0	0	0	5	2	40% 	3	0	0% 	0	1	6	7	11	7	0	0	1	0	0	0	0	0	0	0	3	1	0	1	84% 	0	2	0	0	0	0
Daniel Carvajal 	12	873	0	1	0	0	6	0	0% 	20	3	15% 	0	5	7	10	11	9	0	0	3	0	1	0	0	0	0	0	3	0	4	7	87% 	0	0	0	0	0	0
Daniel Villahermosa 	0	0	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0% 	0	0	0	0	0	0
Darko Brasanac 	12	484	1	1	0	0	5	3	60% 	3	0	0% 	0	2	8	6	6	6	0	0	3	0	0	0	0	0	0	0	1	0	3	2	83% 	0	0	0	0	0	0
Darío Ramos 	0	0	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0% 	0	0	0	0	0	0
David Alaba 	14	1165	1	3	0	0	9	1	11% 	17	4	24% 	0	4	2	6	10	5	0	0	3	0	0	0	0	0	0	0	5	0	1	12	90% 	2	6	1	4	1	1
David García 	12	1039	1	0	0	0	8	2	25% 	1	0	0% 	1	3	11	22	20	8	0	0	6	1	1	0	0	0	0	0	3	0	0	2	80% 	0	5	0	0	0	0
David Gil 	0	0	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0% 	0	0	0	0	0	0
David López 	8	693	2	1	0	0	6	3	50% 	0	0	0% 	0	0	6	6	5	7	0	0	2	0	0	0	0	0	0	0	7	1	2	3	90% 	0	2	0	0	0	0
David Silva 	12	816	0	0	0	0	12	7	58% 	13	3	23% 	0	6	9	8	5	6	0	0	2	0	0	0	0	0	0	0	0	0	6	11	86% 	2	3	0	0	0	0
David Soria 	14	1260	0	0	53	20	0	0	0% 	0	0	0% 	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	1	52% 	0	21	0	0	0	0
